location,built_area_sqft,bhk,bathrooms,lift,air_conditioner,parking,gym,security,water_supply,rent
Bobbili,3970.5158248577086,1,2,0,0,0,0,0,1,190798.34173350155
Nadiad,757.0411585139773,2,1,0,1,1,1,1,1,37692.88703342801
Kharagpur,1845.3795371006377,2,1,0,1,1,0,1,1,150166.32465433778
Paschim Medinipur,3280.2554873169743,3,3,0,1,1,1,1,0,120081.9526071487
Chintalagraharam,1134.5282846640357,1,3,1,1,0,0,0,0,29409.626162595498
Shivamogga,2398.305817488231,4,2,0,1,1,1,0,1,214846.18862002966
Sirsa,3039.0566657068293,4,1,1,0,0,1,1,1,131688.03543310994
Mandya,2617.5476209366443,2,3,1,0,1,1,0,1,116947.6122459059
Jind,1076.889044615498,3,3,1,1,1,1,1,1,66388.60075605992
Pilibhit,1679.384447268662,1,3,1,1,1,1,1,0,90581.42082725845
Anantnag,3221.65042414743,1,2,0,1,0,0,1,1,139559.26917860832
Bhadrak,2395.21545087526,2,1,1,0,0,0,0,0,173133.80400438886
Hazaribagh,418.82660875448585,2,3,1,0,1,1,1,1,41401.859182371394
Ambattur,3139.566736101138,1,1,1,0,0,0,1,1,144595.71469232952
Paschim Medinipur,527.1208777848607,1,3,1,0,0,1,1,0,38523.89330255616
Jorhat,3084.6416178324357,2,3,1,0,0,1,1,1,145107.92117789097
Kakinada,1128.9300165948548,1,1,0,0,1,0,1,1,80231.1123491546
Malappuram,3849.064528429769,4,1,0,0,0,0,0,1,106667.57936402068
Sagar Nagar,1724.5867046875042,2,1,1,0,1,1,1,1,82236.8588249486
Kakinada,1576.9538188170848,1,2,0,1,1,1,0,0,67525.60059706846
Bokaro,935.9969811968008,2,3,0,0,1,1,1,1,34743.24544856696
Kakinada,1500.1751757647735,3,2,1,0,0,1,0,1,84808.35904630357
Tiruchirappalli,3555.942742581522,2,1,1,0,1,1,1,0,205613.6918658981
Margao,3986.8036154580905,2,3,1,0,0,1,1,1,279796.5651203095
Kakinada,1725.914309824654,3,2,0,1,0,0,0,0,114813.95736335483
Ahmedabad,2014.9982714363532,4,3,1,0,1,1,0,1,118260.4749165388
Rewa,2999.455377529853,1,2,0,1,1,1,1,1,88482.1135972558
Champawat,3590.304809674268,3,1,0,1,1,0,0,1,196192.5293748158
Meerut,2534.959603072423,2,2,0,1,0,1,0,0,66158.812272829
Jhalawar,1809.4925134401856,1,3,1,0,0,1,1,0,91205.05447230542
Jind,1885.4386270550456,3,3,0,0,1,0,1,1,154215.5866303985
Port Blair,2904.225327388505,1,3,1,0,1,1,1,0,99779.40360368865
Rewa,411.58574897540325,1,3,1,1,0,0,1,1,26078.30458176082
Mangalore,2630.5216148554264,3,1,1,1,0,1,1,0,114430.32810640667
Anantnag,1679.7748375888866,1,2,1,1,1,0,0,1,112664.89960291033
Buxar,3259.1103925975035,4,1,1,1,0,0,1,0,206836.69429209793
Hazaribagh,734.7663033632757,3,1,0,0,0,0,0,1,53501.29291274861
Shivamogga,2517.528161014206,4,1,0,0,0,1,1,0,138643.51432719402
Bheemunipatnam,2131.5024035900456,2,3,0,0,0,1,1,0,142161.34372431587
Sundargarh,2712.3718932588185,1,3,0,1,0,0,0,0,66106.07662527997
Kohima,633.472940138686,2,3,0,1,0,0,1,0,35395.9260833451
Ongole,2487.9416347412725,2,2,1,0,1,1,0,1,182449.18589639428
Gajuwaka,2421.344516654285,1,3,1,0,0,1,0,1,172141.62620425472
Kothuru,2418.3763398982155,3,2,0,1,1,1,0,0,68924.24497215427
Kothavalasa,2572.5555997472375,1,3,0,0,1,1,1,1,67810.7418216879
Bhavnagar,2835.284574014904,2,3,0,0,0,1,1,0,66937.15855319916
Shivamogga,3297.960398850771,2,1,1,1,1,0,1,1,125192.6931397589
Siddipet,1371.3545924615717,3,1,1,1,1,1,1,0,78164.35231277856
Unnao,3370.1778766482234,1,1,1,1,1,0,1,1,220952.06097276454
Avadi,2193.720456148433,2,2,0,0,0,1,1,1,124052.37072824322
Solan,677.4098048835922,4,2,0,1,1,0,0,0,70843.18945662523
Panipat,610.7833452783251,2,3,0,0,0,0,1,0,57762.955886967946
Margao,1603.2579473058188,2,2,0,0,1,1,1,0,101054.83654693695
Chintalagraharam,3225.6291176012833,3,3,1,1,1,0,1,0,158226.98324089058
Zirakpur,2947.651365067297,4,2,0,0,1,0,1,0,223958.1429365513
Madhurawada,3239.013872820663,2,2,0,1,1,0,0,1,135223.98719588295
Yavatmal,2262.1686031897934,2,2,0,1,0,0,0,0,157981.75542278946
Zirakpur,1984.716392639766,4,1,1,0,1,1,0,1,156879.30613088838
Shimla,930.8290961426222,1,2,1,0,1,0,0,0,83448.52336239771
Raichur,1581.4939129935217,1,1,0,1,0,1,0,1,120202.06356681936
Jhansi,1962.469718225951,2,1,1,1,0,0,1,1,91205.76210351699
Ratlam,718.961546846622,2,2,1,1,0,1,0,0,66365.31436521065
Beach Road,1194.2030297603606,1,3,1,1,1,1,0,0,53174.417421146754
Baripada,2553.61105862946,3,3,1,1,0,1,1,1,136038.2722051249
Bhiwandi,3048.3872112610834,4,3,1,1,0,0,1,1,118323.09488173114
Dabagardens,3994.0510410146185,4,2,0,0,0,1,0,0,128928.88839692468
Madhurawada,3759.2079928368075,3,3,0,0,0,1,1,1,166606.40098205447
Unnao,2713.2347183266897,3,1,0,0,0,0,1,1,140745.34265880275
Jalna,1916.4929918586593,3,3,1,0,0,1,0,1,78214.60045146685
Nanded,2690.238512949638,3,2,1,1,1,0,1,1,223118.03360757817
Ahmedabad,3228.345825088835,3,3,1,0,0,0,0,1,131302.07632228613
Duvvada,826.0102873241943,3,1,1,0,1,1,0,1,65623.2094148972
Surendranagar,1875.6576029066377,4,2,0,1,0,0,1,0,115603.05560135025
Jamnagar,3423.288228288222,3,3,0,0,0,0,0,0,94945.51845361068
Hazaribagh,1781.7986269589585,1,2,0,1,0,0,0,0,60762.241232633736
Bhopal,2458.7401764178717,3,2,0,1,1,1,1,0,133581.60378650963
Paschim Medinipur,2515.9696991039136,3,2,0,1,0,0,1,1,170087.1244019062
Bhiwandi,1064.1145112811018,4,3,0,1,0,0,1,0,70381.68653320028
Yavatmal,1704.0475899482383,4,2,1,1,0,0,1,1,120344.8367471374
Tiruvannamalai,1604.2406394709558,3,3,1,0,0,1,0,1,99389.51530423257
Rohtak,494.30815071543327,4,1,0,0,1,0,1,0,53873.71476901889
Bhadrak,487.0903500088789,2,3,1,0,1,1,1,0,34049.97716419285
Meerut,3394.1093572327845,4,1,0,1,1,0,0,1,107084.41023829266
Mathura,1383.0549159021248,4,3,0,0,1,1,0,0,70299.57092622173
Jagdalpur,2265.0835584597353,4,2,1,0,1,1,0,0,142958.24771815888
Kharagpur,1475.412064919583,4,3,0,0,0,1,0,1,133764.841471159
Solapur,3786.445282415226,1,2,0,0,0,0,1,1,128337.2534929694
Kakinada,1333.4683319167855,1,1,0,1,0,0,1,1,57166.557884060625
Dewas,1946.7645258601663,1,3,1,0,1,0,0,1,49565.87025687605
Duvvada,3541.828901744567,3,2,1,1,0,1,0,1,143005.35972875924
Kasganj,3430.960840450511,3,1,1,1,1,0,0,1,132418.50130798557
Jalna,1069.9651042465985,2,1,1,0,0,0,0,0,84015.95504239608
Bhiwandi,3289.5159152645574,1,3,0,1,1,1,1,0,116790.31820022
Bharuch,2049.4727922564134,3,1,1,1,0,0,0,0,83562.45407955756
Ramanathapuram,2138.6879395072788,4,2,1,1,0,0,1,1,154711.78375282206
Kolar,880.5279006973976,4,1,1,1,0,1,0,1,67043.51440031879
Tiruvannamalai,690.1654495256487,1,1,0,1,0,1,1,0,49860.74693542027
Rajapalayam,3020.5815051055547,2,2,1,1,1,0,1,0,108109.6384013815
Jagdalpur,2187.2601484790794,2,1,1,1,0,1,1,0,96659.45473915039
Raipur,1972.6625294146463,4,1,0,0,0,0,1,1,145019.4171738489
Ichchapuram,3026.2296231486284,2,1,0,0,0,0,0,0,129695.36485417759
Suryabagh,3155.846436367995,1,1,0,1,1,0,1,0,129340.19948252993
Shivpuri,972.0694036096728,4,2,0,1,0,0,0,0,63333.88088338455
Rampur,2596.8105381195087,3,1,1,0,0,0,1,1,182702.8058885067
Raichur,887.2746961996679,3,2,0,0,0,1,1,0,51077.635336991574
Jabalpur,3104.9503097045645,2,1,1,0,0,1,0,0,144945.40959004348
Chhindwara,2765.0385625617023,4,1,1,0,0,0,0,1,202438.33612237498
Ghaziabad,3843.8126359004486,4,1,1,1,1,1,1,1,200367.0662564153
Sahibganj,648.2488588831162,3,1,1,1,1,1,1,1,70487.1047784414
Dindigul,605.3969961445156,4,2,1,0,1,0,0,1,53940.167924371504
Jamshedpur,1415.8734688955205,4,2,0,0,0,1,1,1,136076.12058866827
Nawada,1342.1404614492615,4,2,1,0,1,1,0,0,68851.07654733084
Madurai,1289.1236766591992,2,3,1,0,0,0,0,0,49650.88213088916
Jagadamba Junction,3662.516489875732,4,1,1,1,0,0,0,1,231341.55171707226
Bobbili,1298.3663194582218,1,1,0,0,0,0,1,1,40595.34285379241
Guwahati,1379.0190140630716,2,2,1,0,0,0,1,1,88552.11376704536
Karauli,3133.8337447046692,4,3,1,0,1,0,0,1,120632.95351192249
Suryabagh,2019.063432821944,4,1,0,1,1,0,0,0,73332.18756729325
Rajam,3196.1580050386524,1,2,1,1,1,0,0,0,181797.2815694599
Avadi,635.3181672317869,2,1,1,1,0,1,0,1,44560.237554973
Chipurupalle,2155.2562972241835,3,1,0,0,1,0,1,1,120778.40029767214
Yavatmal,521.0089606598175,3,2,1,0,1,1,0,1,43718.95834174682
Amritsar,625.5515324392763,2,2,1,0,0,1,1,1,51060.85068593468
Jalandhar,3663.174832039879,4,1,1,1,1,0,0,0,151509.18717171068
Patan,901.2833360233426,4,1,1,1,0,1,1,1,91628.10434556266
Lucknow,2316.7144561907817,3,2,1,0,1,1,1,1,156332.6368157451
Delhi,1879.9441693625436,3,1,0,0,1,1,1,0,88225.74072893808
Anantnag,1650.4359745318336,3,1,0,1,1,0,1,1,117645.7468649792
Champawat,3639.400044474181,1,2,0,0,0,1,1,0,118444.7582238541
Dindigul,478.5642283917622,3,1,1,0,1,1,0,1,44695.339878805156
Kolkata,2789.642870232121,1,1,1,0,1,0,0,1,244864.63446566043
Aurangabad,3868.2199631687813,2,3,1,1,1,1,1,0,233817.83138050247
Bhiwandi,2416.605460462631,4,2,0,0,1,1,0,1,141526.4533717198
Paschim Medinipur,3772.5608633191305,3,3,1,0,0,1,0,0,187240.04482230643
Jamnagar,588.1283654296856,4,3,1,0,0,1,0,0,33236.318258526066
Kothavalasa,1907.655948666981,4,3,1,0,1,1,0,0,75322.6442727697
Kadapa,1336.5680474633841,3,1,0,1,1,0,0,1,103493.01184686577
Aligarh,3030.9554739306272,3,1,0,1,1,1,0,1,199156.10194157297
Bhiwandi,3932.669525790088,2,3,1,1,0,0,0,0,100728.35689335728
Mysuru,1323.508224799292,1,3,1,0,1,1,1,1,103421.51662256017
Kharagpur,2755.028565306668,1,3,1,1,1,0,0,1,137380.71558156272
Pali,1113.1514779350646,4,1,0,0,0,0,0,1,67081.08936800149
Simhachalam,2435.1889164577956,3,3,0,1,0,0,0,0,142222.334929463
Jagdalpur,2070.1569520780104,2,3,0,0,0,1,1,0,93603.46588800584
NAD Junction,3899.2191866735334,2,2,1,1,1,1,1,1,227236.21558885655
Raichur,2590.6981817072797,2,2,0,1,0,1,0,0,89456.91580856736
Dhanbad,1658.2229395125476,2,1,1,1,0,1,1,1,140518.77557685942
Vizianagaram,810.7448255965601,2,2,1,0,1,1,1,1,37338.032311269824
Hamirpur,944.4885834457644,1,2,0,0,0,0,0,1,32261.39508747852
Meerut,1211.1409478244464,1,2,1,0,1,0,1,0,46831.1463615847
Mysore,1303.4799808250727,1,1,0,1,1,0,0,0,76569.64335402011
Betul,3462.217808228096,3,2,1,0,0,1,1,1,116346.14711036683
Kothavalasa,2420.40203781709,4,1,1,0,1,1,0,0,100126.9049428857
Karimnagar,2284.2072809477195,2,3,0,0,0,0,1,1,111156.88704922992
Tekkali,813.1679387291829,3,2,1,0,0,1,0,0,40383.35853849396
Baripada,3496.5028960579657,2,1,1,0,0,1,0,0,170231.11128153506
Pudukkottai,3002.1314915505413,1,2,1,0,1,0,1,0,178958.7546623855
Chhapra,643.6061028400056,3,3,1,1,0,0,0,1,33686.24084237055
HB Colony,2948.2063500271674,1,1,1,1,1,1,0,1,135305.8952988446
Dewas,2356.737582433526,2,1,1,0,1,1,1,1,154631.97181048157
Anakapalle,694.2112446884017,2,1,1,1,1,0,0,0,39640.386689717125
Chhindwara,2049.882309503163,4,3,1,1,0,1,0,1,131496.1920821456
Jhansi,2144.906633668169,2,3,0,0,1,0,1,1,64303.12359389011
Sambhal,996.7883445877927,1,3,0,0,1,0,0,1,60555.982197181576
Bheemunipatnam,3804.5133292010164,2,1,1,1,0,0,1,1,118296.07847020295
Gurgaon,3459.911337330383,4,3,1,0,0,1,0,0,310748.0979210746
Chennai,2808.48041438479,4,2,0,1,1,0,1,0,171966.1103334745
Jammu,2064.2640196021857,1,3,1,1,1,0,1,1,95279.19640770125
Baramulla,1882.3559497042306,3,1,0,1,0,1,0,0,138123.53625640646
Faridabad,2743.504481743435,2,2,0,0,1,0,1,0,61485.47121270921
Jagadamba Junction,2363.55472986486,4,3,0,1,1,1,0,0,128894.8691548093
Tumkur,624.1831811747882,2,2,1,0,1,1,0,0,44577.6456333081
Ulhasnagar,2245.009535573194,2,2,1,0,1,1,1,0,109441.11396520793
Vasai-Virar,3303.053022038222,3,1,1,0,0,0,0,1,274615.8881650594
Tekkali,2053.263559349049,4,2,0,0,1,0,0,0,110763.51331593972
Baddi,587.0436791953663,2,2,0,0,0,1,1,1,36499.24639735065
Madurai,3230.6015177825193,4,1,0,1,1,1,0,1,168000.16023993384
Bharuch,1124.9096156895077,1,1,1,0,0,1,0,1,56846.25542086667
Mancherial,1331.0350055969398,1,1,0,0,1,0,1,0,93889.84515787741
Noida,992.9428723562652,2,2,0,0,0,1,0,0,65732.52459829592
Navsari,1588.7742335373912,4,2,1,0,1,1,0,0,99295.91541962551
Parbhani,3124.305420479086,2,2,0,0,0,1,1,0,141465.275850862
Balasore,2269.7890942141744,4,1,0,1,1,0,0,1,107923.21483209304
Mysore,1137.572586942565,4,3,1,0,1,1,0,1,72173.86753711509
Jorhat,3560.188281347347,3,2,1,0,0,0,1,1,123535.08190554327
Sambhal,3566.4946778255053,3,3,0,1,0,0,0,0,234673.39447833685
Arilova,3534.082330165625,3,1,1,0,0,1,0,1,156518.99453415145
Meerut,1259.6663609735415,2,2,0,1,0,1,1,1,65528.16251851654
Bokaro,2024.461639051557,3,3,1,1,0,1,1,1,77516.80754553349
Jagadamba Junction,3945.9627621071504,3,2,0,1,1,0,0,0,239803.98658810338
Mangalore,3179.2449147159655,1,2,1,1,0,0,0,1,164284.85343612853
Nanded,497.80271641201534,4,2,0,0,0,0,1,1,56568.78159294874
Haridwar,634.7365285377714,4,3,1,0,1,1,0,0,78198.67300385606
Asansol,2070.152956524398,3,1,1,1,0,0,0,1,193613.39094610038
Darbhanga,3673.192741101617,4,2,1,1,0,1,0,0,140377.81277966002
Ranipet,2339.326472629771,1,1,1,0,0,1,1,1,144077.11476580793
Seethammadhara,2192.125028923445,1,1,1,1,1,1,0,0,78823.7039746735
Kota,779.70531984387,3,3,1,1,0,0,0,0,72651.0900531184
Unnao,2764.4083770074585,1,3,1,1,1,0,1,0,89531.63377210533
Rushikonda,3359.571378160812,4,1,0,0,1,0,1,1,218657.4398520398
Panipat,1769.5120270272243,2,2,0,1,0,1,1,1,123267.46328189672
Firozabad,3192.202663331179,4,3,1,0,1,0,0,0,113998.35408236957
Dindigul,3872.1159540429217,2,2,1,0,0,0,0,0,137679.74120641232
Yavatmal,1133.5592528596808,3,2,0,0,0,1,1,0,122630.33653232524
Vapi,2283.9866723010687,2,2,0,1,0,1,0,0,61852.59266500904
Mathura,1433.696649104472,1,1,1,1,0,0,0,0,39174.805654677715
Dondaparthy,3254.2759085218217,4,2,0,0,0,1,0,0,132671.06001726387
Vasai-Virar,2479.336117172167,2,1,0,0,1,0,0,0,212061.56509516842
Mysore,2684.4967031810934,4,1,1,0,1,1,1,0,178710.12113317105
Morena,3272.490974617219,3,2,1,1,1,1,1,0,189186.60316686964
Khandwa,1825.4937015848375,3,2,1,1,1,0,0,0,146710.5786756884
Poorna Market,3694.3242462653557,1,2,0,0,0,1,1,0,119899.45759233067
Pudukkottai,2318.903922086104,3,2,1,0,0,1,0,0,174419.80960387902
Ratlam,968.6373622072529,2,1,1,1,1,1,0,1,54069.57782590095
Mysore,2905.2368254076887,3,2,0,0,0,0,1,0,83164.58982255893
